time_mark;time;input;words;length;iteration;execution_time
1560708184.9372008;2019.06.16 21:03:04;приветвсем;['привет', 'всем'];0;3;0.004958629608154297
1560708184.9426563;2019.06.16 21:03:04;интересныедела;['интересные', 'дела'];0;3;0.004957914352416992
1560708184.9446423;2019.06.16 21:03:04;ногтитропарево;['ногти', 'тропарево'];0;3;0.001489877700805664
1560708184.946625;2019.06.16 21:03:04;тропарево-никулино;['тропаревоникулино'];0;3;0.001981973648071289
1560708184.9505942;2019.06.16 21:03:04;лялял;['ляля', 'л'];0;3;0.0034737586975097656
1560708184.9520822;2019.06.16 21:03:04;новыйгод;['новый', 'год'];0;3;0.0014879703521728516
1560708184.9540665;2019.06.16 21:03:04;нвыйгод;['нвый', 'год'];0;3;0.0019843578338623047
1560708184.955058;2019.06.16 21:03:04;старыйгд;['старый', 'гд'];0;3;0.0014879703521728516
1560708184.9570408;2019.06.16 21:03:04;старйгод;['стар', 'й', 'год'];0;3;0.0014863014221191406
1560708184.959555;2019.06.16 21:03:04;интересно;['интересно'];0;3;0.0015225410461425781
1560708184.9669619;2019.06.16 21:03:04;финансовыйуниверситет;['финансовый', 'университет'];0;3;0.007406949996948242
1560708184.9704342;2019.06.16 21:03:04;финашка;['финашка'];0;3;0.0029764175415039062
1560708184.9768815;2019.06.16 21:03:04;нагайна;['нагай', 'на'];0;3;0.005455493927001953
1560708184.9789977;2019.06.16 21:03:04;роулинг;['роулинг'];0;3;0.0014896392822265625
1560708184.983958;2019.06.16 21:03:04;играпрестолв;['игра', 'престол', 'в'];0;3;0.004960298538208008
1560708184.991894;2019.06.16 21:03:04;играпрестолв;['игра', 'престол', 'в'];0;3;0.007439613342285156
1560708184.997848;2019.06.16 21:03:04;играпрестолв;['игра', 'престол', 'в'];0;3;0.005456447601318359
1560708185.001816;2019.06.16 21:03:05;приветвсемфу;['привет', 'всем', 'фу'];0;3;0.003472566604614258
1560708185.0028083;2019.06.16 21:03:05;привет;['привет'];0;3;0.0009922981262207031
1560708185.005288;2019.06.16 21:03:05;финансовыйуниверситет;['финансовый', 'университет'];0;3;0.0019826889038085938
1560708185.0087597;2019.06.16 21:03:05;московскаявеснаакапелла;['московская', 'весна', 'а', 'капелла'];0;3;0.0029752254486083984
1560708185.0117385;2019.06.16 21:03:05;московскиесезоны;['московские', 'сезоны'];0;3;0.0024826526641845703
1560708185.0137212;2019.06.16 21:03:05;диплом;['диплом'];0;3;0.0014884471893310547
1560708185.0161982;2019.06.16 21:03:05;защитадиплома;['защита', 'диплома'];0;3;0.0019805431365966797
1560708185.0182133;2019.06.16 21:03:05;егэ;['егэ'];0;3;0.0015192031860351562
1560708185.01871;2019.06.16 21:03:05;огэ;['огэ'];0;3;0.0004966259002685547
1560708185.0211582;2019.06.16 21:03:05;скороегэ;['скоро', 'егэ'];0;3;0.0024483203887939453
1560708185.022646;2019.06.16 21:03:05;экзамен;['экзамен'];0;3;0.0009908676147460938
1560708185.024134;2019.06.16 21:03:05;проверочные;['проверочные'];0;3;0.0009925365447998047
1560708185.0251262;2019.06.16 21:03:05;проверочные;['проверочные'];0;3;0.0004951953887939453
1560708185.0261178;2019.06.16 21:03:05;шоппинг;['шоппинг'];0;3;0.0009915828704833984
1560708185.0276449;2019.06.16 21:03:05;прошивдиплома;['прошив', 'диплома'];0;3;0.0015270709991455078
1560708185.0290945;2019.06.16 21:03:05;подружки;['подружки'];0;3;0.0014495849609375
1560708185.0375302;2019.06.16 21:03:05;шоппинг_с_подружками;['шоппинг', 'с', 'подружками'];0;3;0.007938385009765625
1560708185.0414934;2019.06.16 21:03:05;любовьвокругуже;['любовь', 'вокруг', 'уже'];0;3;0.0034716129302978516
1560708185.0444696;2019.06.16 21:03:05;москвалюбмыйгород;['москва', 'люб', 'мый', 'город'];0;3;0.002480030059814453
1560708185.0454648;2019.06.16 21:03:05;моква;['моква'];0;3;0.0009951591491699219
1560708185.0479434;2019.06.16 21:03:05;мокса;['мокса'];0;3;0.0024785995483398438
1560708185.0549247;2019.06.16 21:03:05;инетересные;['и', 'не', 'тересные'];0;3;0.006981372833251953
1560708185.0603416;2019.06.16 21:03:05;странноэтовсе;['странно', 'это', 'все'];0;3;0.0054168701171875
1560708185.0623257;2019.06.16 21:03:05;нечеткийпоиск;['нечеткий', 'поиск'];0;3;0.0014863014221191406
1560708185.0767124;2019.06.16 21:03:05;нечеткийпоис;['нечеткий', 'по', 'и', 'с'];0;3;0.013891220092773438
1560708185.0836937;2019.06.16 21:03:05;почемуплохойрезультат;['почему', 'плохой', 'результат'];0;3;0.006981372833251953
1560708185.085678;2019.06.16 21:03:05;погодазашибись;['погода', 'зашибись'];0;3;0.0019843578338623047
1560708185.088614;2019.06.16 21:03:05;крутоодела;['круто', 'о', 'дела'];0;3;0.0029358863830566406
1560708185.0901017;2019.06.16 21:03:05;почемудолго;['почему', 'долго'];0;3;0.0009913444519042969
1560708185.0915902;2019.06.16 21:03:05;тату;['тату'];0;3;0.0009911060333251953
1560708185.095558;2019.06.16 21:03:05;тропаревоноготочки;['тропарево', 'ноготочки'];0;3;0.003471851348876953
1560708185.0990298;2019.06.16 21:03:05;#инстаграм_порусски;['инстаграм', 'порусски'];0;3;0.0029740333557128906
1560708185.099526;2019.06.16 21:03:05;#я;['я'];0;3;0.0004961490631103516
1560708185.101014;2019.06.16 21:03:05;#любовь;['любовь'];0;3;0.0014879703521728516
1560708185.1025019;2019.06.16 21:03:05;#инстаграм;['инстаграм'];0;3;0.0014879703521728516
1560708185.103494;2019.06.16 21:03:05;#россия;['россия'];0;3;0.0009920597076416016
1560708185.10399;2019.06.16 21:03:05;#москва;['москва'];0;3;0.0004961490631103516
1560708185.1059737;2019.06.16 21:03:05;#инстатаг;['инстатаг'];0;3;0.00148773193359375
1560708185.1109338;2019.06.16 21:03:05;#фотография;['фото', 'графия'];0;3;0.004960060119628906
1560708185.1134162;2019.06.16 21:03:05;#инста;['инста'];0;3;0.0024824142456054688
1560708185.1159337;2019.06.16 21:03:05;#день;['день'];0;3;0.001979351043701172
1560708185.1228795;2019.06.16 21:03:05;#лайки;['лайк', 'и'];0;3;0.00694584846496582
1560708185.1258159;2019.06.16 21:03:05;#инстаграманет;['инстаграма', 'нет'];0;3;0.0029363632202148438
1560708185.127302;2019.06.16 21:03:05;#природа;['природа'];0;3;0.0009913444519042969
1560708185.1297822;2019.06.16 21:03:05;#любовьмоя;['любовь', 'моя'];0;3;0.0024802684783935547
1560708185.130815;2019.06.16 21:03:05;#девушки;['девушки'];0;3;0.0010328292846679688
1560708185.1318083;2019.06.16 21:03:05;#улыбка;['улыбка'];0;3;0.0005388259887695312
1560708185.133254;2019.06.16 21:03:05;#жизньпрекрасна;['жизнь', 'прекрасна'];0;3;0.001445770263671875
1560708185.1342459;2019.06.16 21:03:05;#друзья;['друзья'];0;3;0.0004944801330566406
1560708185.136263;2019.06.16 21:03:05;#селфи;['селфи'];0;3;0.0020170211791992188
1560708185.137253;2019.06.16 21:03:05;#ночь;['ночь'];0;3;0.000990152359008789
1560708185.138248;2019.06.16 21:03:05;#украина;['украина'];0;3;0.0009949207305908203
1560708185.1387415;2019.06.16 21:03:05;#небо;['небо'];0;3;0.0004935264587402344
1560708185.1421819;2019.06.16 21:03:05;#фото;['фото'];0;3;0.003440380096435547
1560708185.144166;2019.06.16 21:03:05;#инстаграмнедели;['инстаграм', 'недели'];0;3;0.001984119415283203
1560708185.1451576;2019.06.16 21:03:05;#жизнь;['жизнь'];0;3;0.0009915828704833984
1560708185.1486294;2019.06.16 21:03:05;#супер;['супер'];0;3;0.003471851348876953
1560708185.1491256;2019.06.16 21:03:05;#дружба;['дружба'];0;3;0.0004961490631103516
1560708185.1496217;2019.06.16 21:03:05;#красота;['красота'];0;3;0.0004961490631103516
1560708185.1525974;2019.06.16 21:03:05;#видео;['видео'];0;3;0.0029757022857666016
1560708185.1535897;2019.06.16 21:03:05;#облака;['облака'];0;3;0.0009922981262207031
1560708185.1545818;2019.06.16 21:03:05;#успех;['успех'];0;3;0.0009920597076416016
1560708185.1555738;2019.06.16 21:03:05;#клуб;['клуб'];0;3;0.0009920597076416016
1560708185.1555738;2019.06.16 21:03:05;#друг;['друг'];0;3;0.0
1560708185.1580536;2019.06.16 21:03:05;#инстамамс;['инстамамс'];0;3;0.001983642578125
1560708185.1595418;2019.06.16 21:03:05;#инстамама;['инстамама'];0;3;0.0014882087707519531
1560708185.160038;2019.06.16 21:03:05;#привет;['привет'];0;3;0.0004961490631103516
1560708185.1620216;2019.06.16 21:03:05;#инстадети;['инстадети'];0;3;0.001983642578125
1560708185.1630135;2019.06.16 21:03:05;#город;['город'];0;3;0.0009918212890625
1560708185.1635098;2019.06.16 21:03:05;#лук;['лук'];0;3;0.0004963874816894531
1560708185.1645014;2019.06.16 21:03:05;#красиво;['красиво'];0;3;0.0009915828704833984
1560708185.165;2019.06.16 21:03:05;#мы;['мы'];0;3;0.0004985332489013672
1560708185.1664875;2019.06.16 21:03:05;#инстатаг;['инстатаг'];0;3;0.0014874935150146484
1560708185.1833508;2019.06.16 21:03:05;#кот;['к', 'от'];0;3;0.01583719253540039
1560708185.1883118;2019.06.16 21:03:05;#инстафото;['инстафото'];0;3;0.0044651031494140625
1560708185.1902964;2019.06.16 21:03:05;#котик;['котик'];0;3;0.0014891624450683594
1560708185.1912878;2019.06.16 21:03:05;#нравится;['нравится'];0;3;0.0009913444519042969
1560708185.200215;2019.06.16 21:03:05;#фотография;['фото', 'графия'];0;3;0.008431434631347656
1560708185.2180712;2019.06.16 21:03:05;#мой;['мой'];0;3;0.015376567840576172
1560708185.224519;2019.06.16 21:03:05;#следуйзамной;['следуй', 'за', 'мной'];0;3;0.005951642990112305
1560708185.2319589;2019.06.16 21:03:05;#любовьморковь;['любовь', 'морковь'];0;3;0.0074405670166015625
1560708185.2627106;2019.06.16 21:03:05;#подпишись;['подпишись'];0;3;0.02975916862487793
1560708185.2646942;2019.06.16 21:03:05;#лучший;['лучший'];0;3;0.0014874935150146484
1560708185.2676716;2019.06.16 21:03:05;#счастье;['счастье'];0;3;0.0024819374084472656
1560708185.2696545;2019.06.16 21:03:05;#вечеринка;['вечеринка'];0;3;0.0014865398406982422
1560708185.276103;2019.06.16 21:03:05;#инстаграманет;['инстаграма', 'нет'];0;3;0.005953311920166016
1560708185.2780867;2019.06.16 21:03:05;#вид;['вид'];0;3;0.0014879703521728516
1560708185.28007;2019.06.16 21:03:05;#да;['да'];0;3;0.0014874935150146484
1560708185.2835429;2019.06.16 21:03:05;#классно;['классно'];0;3;0.002976655960083008
1560708185.2850304;2019.06.16 21:03:05;#ты;['ты'];0;3;0.0009906291961669922
1560708185.303879;2019.06.16 21:03:05;#праздник;['праздник'];0;3;0.018352031707763672
1560708185.3053687;2019.06.16 21:03:05;#девушка;['девушка'];0;3;0.0009932518005371094
1560708185.316775;2019.06.16 21:03:05;#любимый;['любимый'];0;3;0.01091313362121582
1560708185.3187585;2019.06.16 21:03:05;#доброеутро;['доброе', 'утро'];0;3;0.0014867782592773438
1560708185.3217344;2019.06.16 21:03:05;#обед;['обед'];0;3;0.0019829273223876953
1560708185.3227265;2019.06.16 21:03:05;#пара;['пара'];0;3;0.0009920597076416016
1560708185.3242154;2019.06.16 21:03:05;#деньги;['деньги'];0;3;0.000993490219116211
1560708185.3257027;2019.06.16 21:03:05;#сила;['сила'];0;3;0.0009903907775878906
1560708185.328679;2019.06.16 21:03:05;#настроение;['настроение'];0;3;0.0024802684783935547
1560708185.3316567;2019.06.16 21:03:05;#отдыхаем;['отдыхаем'];0;3;0.0014886856079101562
1560708185.3336399;2019.06.16 21:03:05;#инстатаг;['инстатаг'];0;3;0.0014891624450683594
1560708185.3376071;2019.06.16 21:03:05;#хорошо;['хорошо'];0;3;0.0034723281860351562
1560708185.339097;2019.06.16 21:03:05;#вечер;['вечер'];0;3;0.0009942054748535156
1560708185.342567;2019.06.16 21:03:05;#шопинг;['шопинг'];0;3;0.002975940704345703
1560708185.3450465;2019.06.16 21:03:05;#отдых;['отдых'];0;3;0.0019838809967041016
1560708185.3470318;2019.06.16 21:03:05;#конкурс;['конкурс'];0;3;0.0014889240264892578
1560708185.350503;2019.06.16 21:03:05;#утро;['утро'];0;3;0.002972126007080078
1560708185.3529823;2019.06.16 21:03:05;#нет;['нет'];0;3;0.0019829273223876953
1560708185.3579438;2019.06.16 21:03:05;#инстаграманет;['инстаграма', 'нет'];0;3;0.004464864730834961
1560708185.3594298;2019.06.16 21:03:05;#жесть;['жесть'];0;3;0.0009911060333251953
1560708185.3693504;2019.06.16 21:03:05;#сон;['с', 'он'];0;3;0.009920120239257812
1560708185.371831;2019.06.16 21:03:05;#дорога;['дорога'];0;3;0.0014891624450683594
1560708185.3733184;2019.06.16 21:03:05;#гуляем;['гуляем'];0;3;0.0009920597076416016
1560708185.3757982;2019.06.16 21:03:05;#солнце;['солнце'];0;3;0.001983642578125
1560708185.3772857;2019.06.16 21:03:05;#любимая;['любимая'];0;3;0.00148773193359375
1560708185.378774;2019.06.16 21:03:05;#любимые;['любимые'];0;3;0.0009913444519042969
